iter	Passed	Remaining
978	42332	55693
979	42370	55643
980	42413	55599
981	42459	55561
982	42501	55515
983	42544	55471
984	42588	55430
985	42630	55384
986	42673	55341
987	42717	55299
988	42760	55256
989	42813	55225
990	42863	55190
991	42903	55142
992	42944	55097
993	42984	55050
994	43020	54997
995	43062	54951
996	43103	54906
997	43143	54858
998	43187	54816
999	43247	54794
1000	43288	54747
1001	43330	54703
1002	43370	54656
1003	43411	54609
1004	43456	54568
1005	43501	54528
1006	43546	54486
1007	43588	54442
1008	43632	54399
1009	43674	54355
1010	43719	54313
1011	43764	54272
1012	43804	54226
1013	43844	54178
1014	43887	54135
1015	43929	54090
1016	43971	54045
1017	44012	53999
1018	44053	53953
1019	44092	53905
1020	44136	53863
1021	44179	53819
1022	44224	53778
1023	44264	53730
1024	44305	53685
1025	44349	53642
1026	44392	53599
1027	44434	53555
1028	44475	53508
1029	44518	53465
1030	44561	53421
1031	44602	53376
1032	44638	53324
1033	44683	53283
1034	44727	53241
1035	44770	53197
1036	44830	53174
1037	44870	53126
1038	44911	53081
1039	44952	53035
1040	44988	52984
1041	45045	52956
1042	45088	52913
1043	45132	52870
1044	45173	52824
1045	45216	52781
1046	45259	52737
1047	45299	52691
1048	45340	52644
1049	45385	52603
1050	45428	52560
1051	45470	52515
1052	45514	52473
1053	45555	52428
1054	45598	52383
1055	45644	52343
1056	45685	52298
1057	45726	52252
1058	45766	52205
1059	45809	52162
1060	45851	52117
1061	45893	52073
1062	45938	52032
1063	45981	51988
1064	46021	51941
1065	46062	51895
1066	46104	51851
1067	46144	51805
1068	46185	51758
1069	46226	51713
1070	46267	51667
1071	46308	51622
1072	46348	51575
1073	46392	51533
1074	46436	51490
1075	46480	51448
1076	46526	51407
1077	46566	51360
1078	46608	51316
1079	46648	51270
1080	46691	51226
1081	46731	51180
1082	46773	51136
1083	46815	51091
1084	46857	51046
1085	46901	51003
1086	46942	50958
1087	46992	50922
1088	47031	50875
1089	47073	50830
1090	47115	50786
1091	47158	50743
1092	47202	50700
1093	47261	50674
1094	47306	50633
1095	47349	50589
1096	47392	50546
